Distance (Km),Longitude,Latitude,MOLA 128ppd Elevation
0,73.29,21.069,-284
0.056,73.289,21.069,-284
0.112,73.288,21.069,-283
0.169,73.287,21.069,-283
0.225,73.286,21.069,-283
0.281,73.285,21.068,-283
0.337,73.284,21.068,-283
0.394,73.283,21.068,-283
0.45,73.282,21.068,-283
0.506,73.281,21.068,-289
0.563,73.28,21.068,-289
0.619,73.279,21.067,-289
0.676,73.278,21.067,-289
0.734,73.277,21.067,-289
0.792,73.277,21.068,-289
0.851,73.276,21.068,-289
0.91,73.276,21.069,-289
0.97,73.275,21.07,-289
1.03,73.275,21.071,-279
1.089,73.275,21.072,-279
1.149,73.274,21.073,-279
1.209,73.274,21.074,-279
1.269,73.274,21.075,-279
1.328,73.273,21.076,-288
1.386,73.272,21.077,-288
1.443,73.271,21.077,-288
1.5,73.271,21.078,-288
1.558,73.27,21.078,-288
1.615,73.269,21.079,-283
1.672,73.268,21.079,-283
1.73,73.267,21.078,-288
1.787,73.266,21.078,-288
1.844,73.265,21.077,-297
1.902,73.265,21.076,-297
1.959,73.264,21.076,-297
2.016,73.263,21.076,-297
2.072,73.262,21.075,-297
2.129,73.261,21.075,-297
2.185,73.26,21.075,-297
2.241,73.259,21.075,-297
2.298,73.258,21.075,-297
2.355,73.257,21.074,-304
2.413,73.256,21.074,-304
2.469,73.255,21.073,-304
2.526,73.254,21.073,-304
2.582,73.253,21.073,-304
2.639,73.252,21.073,-304
2.695,73.251,21.072,-304
2.752,73.25,21.072,-304
2.808,73.249,21.072,-311
2.865,73.248,21.072,-311
2.921,73.247,21.071,-311
2.979,73.246,21.071,-311
3.036,73.246,21.07,-318
3.094,73.245,21.07,-318
3.152,73.244,21.069,-318
3.209,73.243,21.068,-318
3.267,73.242,21.068,-318
3.325,73.242,21.067,-324
3.383,73.241,21.066,-324
3.441,73.24,21.066,-324
3.499,73.239,21.065,-324
3.557,73.239,21.064,-324
3.615,73.238,21.064,-324
3.673,73.237,21.063,-324
3.732,73.236,21.062,-342
3.789,73.236,21.061,-342
3.847,73.235,21.061,-342
3.905,73.234,21.06,-356
3.963,73.233,21.059,-356
4.022,73.233,21.059,-356
4.078,73.232,21.059,-356
4.136,73.231,21.059,-356
4.195,73.23,21.06,-356
4.252,73.229,21.06,-356
4.309,73.229,21.061,-356
4.365,73.227,21.061,-356
4.422,73.226,21.061,-354
4.479,73.226,21.061,-354
4.537,73.225,21.06,-354
4.596,73.224,21.059,-354
4.655,73.224,21.058,-354
4.713,73.223,21.058,-354
4.77,73.222,21.057,-354
4.827,73.221,21.057,-354
4.883,73.22,21.057,-354
4.94,73.219,21.056,-354
4.996,73.218,21.056,-350
5.053,73.217,21.056,-350
5.109,73.216,21.056,-350
5.166,73.215,21.055,-350
5.224,73.215,21.055,-350
5.282,73.214,21.054,-361
5.341,73.213,21.053,-361
5.398,73.212,21.053,-361
5.454,73.211,21.052,-361
5.512,73.211,21.052,-359
5.569,73.21,21.051,-359
5.627,73.209,21.051,-359
5.685,73.208,21.05,-359
5.744,73.208,21.049,-359
5.804,73.208,21.048,-359
5.865,73.208,21.047,-359
5.925,73.207,21.046,-358
5.985,73.207,21.045,-358
6.045,73.207,21.044,-358
6.105,73.207,21.043,-358
6.165,73.207,21.042,-358
6.225,73.207,21.041,-358
6.286,73.207,21.04,-358
6.346,73.207,21.039,-353
6.406,73.207,21.038,-353
6.466,73.207,21.037,-353
6.526,73.207,21.036,-353
6.586,73.207,21.035,-353
6.645,73.207,21.034,-353
6.702,73.207,21.034,-353
6.761,73.208,21.033,-353
6.819,73.208,21.032,-353
6.877,73.209,21.032,-353
6.933,73.21,21.031,-353
6.99,73.211,21.031,-344
7.047,73.212,21.031,-352
7.104,73.213,21.03,-352
7.164,73.213,21.029,-352
7.224,73.213,21.028,-352
7.284,73.213,21.027,-352
7.343,73.213,21.026,-352
7.402,73.212,21.025,-352
7.462,73.212,21.024,-352
7.521,73.211,21.024,-352
7.58,73.211,21.023,-339
7.638,73.21,21.022,-339
7.696,73.209,21.021,-339
7.755,73.208,21.021,-339
7.813,73.208,21.02,-339
7.869,73.207,21.02,-339
7.925,73.206,21.02,-339
7.982,73.205,21.02,-339
8.038,73.204,21.02,-339
8.094,73.203,21.02,-333
8.152,73.202,21.021,-333
8.211,73.201,21.022,-333
8.27,73.201,21.023,-333
8.329,73.2,21.024,-332
8.387,73.199,21.024,-332
8.444,73.198,21.025,-332
8.501,73.197,21.025,-332
8.557,73.196,21.025,-332
8.613,73.195,21.025,-332
8.67,73.194,21.025,-317
8.726,73.193,21.025,-317
8.782,73.192,21.025,-317
8.839,73.192,21.025,-317
8.895,73.191,21.025,-317
8.952,73.19,21.025,-317
9.008,73.188,21.024,-317
9.064,73.187,21.024,-326
9.12,73.186,21.024,-326
9.177,73.185,21.024,-326
9.233,73.185,21.024,-326
9.29,73.184,21.024,-326
9.347,73.183,21.025,-326
9.405,73.182,21.026,-326
9.463,73.181,21.026,-326
9.521,73.18,21.027,-326
9.578,73.179,21.027,-332
9.634,73.178,21.028,-332
9.691,73.178,21.027,-332
9.749,73.177,21.027,-332
9.808,73.176,21.026,-332
9.866,73.175,21.025,-332
9.924,73.175,21.024,-332
9.982,73.174,21.024,-332
10.039,73.173,21.023,-327
10.097,73.172,21.023,-327
10.155,73.171,21.022,-325
10.212,73.171,21.021,-325
10.269,73.17,21.021,-325
10.325,73.169,21.021,-325
10.382,73.168,21.021,-325
10.438,73.167,21.021,-325
10.494,73.166,21.021,-325
10.551,73.165,21.02,-325
10.607,73.164,21.02,-322
10.664,73.163,21.02,-322
10.72,73.162,21.02,-322
10.777,73.161,21.019,-322
10.833,73.16,21.019,-322
10.889,73.159,21.019,-322
10.946,73.158,21.019,-322
11.002,73.157,21.019,-322
11.058,73.156,21.019,-330
11.115,73.155,21.018,-330
11.171,73.154,21.018,-330
11.227,73.153,21.018,-330
11.284,73.152,21.018,-330
11.34,73.151,21.018,-330
11.396,73.15,21.018,-330
11.452,73.149,21.018,-330
11.509,73.148,21.017,-329
11.565,73.147,21.018,-329
11.623,73.146,21.018,-329
11.683,73.146,21.019,-329
11.743,73.145,21.02,-329
11.802,73.145,21.021,-329
11.86,73.144,21.022,-329
11.918,73.143,21.022,-329
11.975,73.142,21.023,-329
12.032,73.141,21.023,-329
12.089,73.141,21.024,-325
12.145,73.14,21.024,-325
12.202,73.139,21.024,-325
12.258,73.138,21.024,-325
12.314,73.137,21.024,-325
12.37,73.135,21.024,-325
12.427,73.134,21.024,-325
12.483,73.133,21.024,-325
12.539,73.132,21.024,-314
12.595,73.131,21.024,-314
12.652,73.131,21.023,-319
12.71,73.13,21.023,-319
12.767,73.129,21.023,-319
12.824,73.128,21.023,-319
12.882,73.127,21.024,-314
12.941,73.127,21.025,-314
13.001,73.126,21.026,-314
13.061,73.126,21.027,-314
13.121,73.126,21.028,-314
13.181,73.126,21.029,-314
13.241,73.126,21.03,-314
13.301,73.126,21.031,-314
13.359,73.127,21.031,-312
13.417,73.128,21.032,-312
13.476,73.128,21.033,-312
13.535,73.129,21.034,-312
13.594,73.129,21.035,-312
13.653,73.13,21.035,-312
13.712,73.131,21.036,-312
13.77,73.131,21.037,-312
13.828,73.132,21.038,-312
13.886,73.133,21.038,-312
13.944,73.133,21.039,-325
14.002,73.134,21.04,-318
14.062,73.134,21.041,-318
14.122,73.135,21.042,-318
14.182,73.134,21.043,-318
14.241,73.134,21.043,-318
14.301,73.133,21.044,-318
14.361,73.133,21.045,-318
14.421,73.133,21.046,-309
14.48,73.132,21.047,-310
14.54,73.132,21.048,-310
14.6,73.132,21.049,-310
14.661,73.132,21.05,-310
14.721,73.132,21.051,-310
14.781,73.132,21.052,-310
14.841,73.132,21.053,-310
14.901,73.132,21.054,-310
14.959,73.133,21.055,-319
15.016,73.134,21.055,-319
15.072,73.135,21.056,-319
15.129,73.136,21.056,-319
15.185,73.137,21.056,-319
15.242,73.138,21.055,-319
15.298,73.139,21.055,-319
15.354,73.14,21.055,-319
15.411,73.141,21.055,-331
15.471,73.141,21.054,-335
15.531,73.141,21.053,-335
15.591,73.142,21.052,-335
15.649,73.141,21.051,-335
15.707,73.14,21.051,-321
15.765,73.14,21.05,-321
15.822,73.139,21.049,-321
15.88,73.138,21.049,-321
15.94,73.138,21.048,-321
16,73.138,21.047,-318
16.06,73.137,21.046,-318
16.12,73.137,21.045,-318
16.18,73.137,21.044,-318
16.241,73.137,21.043,-318
16.299,73.137,21.042,-318
16.357,73.136,21.041,-318
16.416,73.135,21.04,-318
16.474,73.134,21.04,-318
16.532,73.134,21.039,-325
16.59,73.133,21.038,-325
16.648,73.132,21.038,-312
16.707,73.132,21.037,-312
16.766,73.131,21.036,-312
16.825,73.13,21.035,-312
16.884,73.13,21.034,-312
16.943,73.129,21.033,-312
17.003,73.129,21.032,-312
17.062,73.128,21.032,-312
17.121,73.128,21.031,-314
17.18,73.127,21.03,-314
17.239,73.127,21.029,-314
17.298,73.126,21.028,-314
17.357,73.126,21.027,-314
17.416,73.126,21.026,-314
17.476,73.126,21.026,-314
17.535,73.126,21.025,-314
17.594,73.127,21.024,-314
17.654,73.127,21.023,-319
17.712,73.128,21.022,-319
17.771,73.129,21.022,-319
17.827,73.13,21.022,-319
17.884,73.131,21.022,-319
17.941,73.132,21.023,-319
17.997,73.133,21.023,-319
18.054,73.134,21.023,-325
18.11,73.135,21.023,-325
18.167,73.136,21.023,-325
18.224,73.137,21.022,-325
18.281,73.137,21.022,-325
18.338,73.138,21.021,-325
18.397,73.139,21.021,-325
18.455,73.14,21.02,-325
18.514,73.14,21.019,-325
18.573,73.141,21.018,-329
18.633,73.141,21.017,-329
18.694,73.141,21.016,-329
18.754,73.141,21.015,-327
18.814,73.141,21.014,-327
18.874,73.141,21.013,-327
18.934,73.141,21.012,-325
18.994,73.141,21.011,-325
19.054,73.141,21.01,-325
19.114,73.141,21.009,-325
19.174,73.142,21.008,-325
19.234,73.142,21.007,-327
19.295,73.142,21.006,-327
19.355,73.142,21.005,-327
19.415,73.142,21.004,-327
19.475,73.142,21.003,-327
19.533,73.143,21.002,-327
19.591,73.144,21.002,-327
19.648,73.145,21.001,-327
19.706,73.145,21,-327
19.765,73.146,21,-355
19.823,73.147,20.999,-355
19.882,73.147,20.998,-355
19.94,73.148,20.997,-355
19.999,73.149,20.997,-356
20.058,73.149,20.996,-356
20.117,73.15,20.995,-356
20.177,73.15,20.994,-356
20.236,73.151,20.993,-356
20.296,73.151,20.992,-377
20.353,73.152,20.992,-377
20.409,73.153,20.991,-377
20.468,73.154,20.991,-377
20.527,73.154,20.99,-377
20.586,73.155,20.989,-377
20.646,73.155,20.988,-377
20.705,73.155,20.987,-377
20.764,73.155,20.986,-377
20.82,73.154,20.986,-377
20.877,73.153,20.986,-377
20.935,73.152,20.985,-377
20.993,73.152,20.985,-377
21.051,73.151,20.984,-391
21.108,73.15,20.983,-391
21.165,73.149,20.983,-391
21.222,73.148,20.983,-377
21.278,73.147,20.982,-377
21.336,73.146,20.982,-377
21.394,73.145,20.981,-377
21.454,73.145,20.98,-377
21.514,73.145,20.979,-377
21.574,73.145,20.978,-377
21.635,73.145,20.977,-377
21.695,73.145,20.976,-374
