Distance (Km),Longitude,Latitude,MOLA 128ppd Elevation
0,73.242,20.97,-316
0.015,73.242,20.97,-316
0.03,73.242,20.97,-316
0.045,73.242,20.969,-316
0.06,73.242,20.969,-316
0.075,73.242,20.969,-316
0.09,73.242,20.969,-328
0.105,73.242,20.968,-337
0.119,73.242,20.968,-337
0.134,73.242,20.968,-337
0.149,73.242,20.968,-337
0.164,73.242,20.967,-337
0.179,73.242,20.967,-337
0.194,73.242,20.967,-337
0.209,73.242,20.967,-337
0.224,73.242,20.966,-337
0.239,73.242,20.966,-337
0.254,73.242,20.966,-337
0.269,73.242,20.966,-337
0.284,73.242,20.965,-337
0.299,73.242,20.965,-337
0.314,73.242,20.965,-337
0.329,73.242,20.965,-337
0.343,73.242,20.964,-337
0.358,73.242,20.964,-337
0.373,73.242,20.964,-337
0.388,73.241,20.964,-337
0.403,73.241,20.963,-337
0.418,73.241,20.963,-337
0.433,73.241,20.963,-337
0.448,73.241,20.963,-337
0.463,73.241,20.962,-337
0.478,73.241,20.962,-337
0.493,73.241,20.962,-337
0.508,73.241,20.962,-337
0.523,73.241,20.961,-337
0.538,73.241,20.961,-337
0.553,73.241,20.961,-337
0.568,73.241,20.961,-345
0.582,73.241,20.96,-345
0.597,73.241,20.96,-345
0.612,73.241,20.96,-345
0.627,73.241,20.96,-345
0.642,73.241,20.959,-345
0.657,73.241,20.959,-345
0.672,73.241,20.959,-345
0.687,73.241,20.959,-345
0.702,73.241,20.958,-345
0.717,73.241,20.958,-345
0.732,73.241,20.958,-345
0.747,73.241,20.958,-345
0.762,73.241,20.957,-345
0.777,73.241,20.957,-345
0.792,73.241,20.957,-345
0.806,73.24,20.957,-345
0.821,73.24,20.956,-345
0.836,73.24,20.956,-345
0.851,73.24,20.956,-345
0.866,73.24,20.956,-345
0.881,73.24,20.955,-345
0.896,73.24,20.955,-345
0.911,73.24,20.955,-345
0.926,73.24,20.955,-345
0.941,73.24,20.954,-345
0.956,73.24,20.954,-345
0.971,73.24,20.954,-345
0.986,73.24,20.954,-345
1.001,73.24,20.953,-345
1.016,73.24,20.953,-345
1.03,73.24,20.953,-351
1.045,73.24,20.953,-351
1.06,73.24,20.952,-351
1.075,73.24,20.952,-351
1.09,73.24,20.952,-351
1.105,73.24,20.952,-351
1.12,73.24,20.951,-351
1.135,73.24,20.951,-351
1.15,73.24,20.951,-351
1.165,73.24,20.951,-351
1.18,73.24,20.95,-351
1.195,73.24,20.95,-351
1.21,73.24,20.95,-351
1.225,73.239,20.95,-351
1.24,73.239,20.949,-351
1.255,73.239,20.949,-351
1.269,73.239,20.949,-351
1.284,73.239,20.949,-351
1.299,73.239,20.948,-351
1.314,73.239,20.948,-351
1.329,73.239,20.948,-351
1.344,73.239,20.948,-351
1.359,73.239,20.947,-351
1.374,73.239,20.947,-351
1.389,73.239,20.947,-351
1.404,73.239,20.947,-351
1.418,73.239,20.947,-351
1.432,73.239,20.947,-351
1.446,73.24,20.947,-351
1.46,73.24,20.947,-351
1.475,73.24,20.947,-351
1.489,73.24,20.947,-351
1.503,73.241,20.947,-351
1.517,73.241,20.947,-351
1.531,73.241,20.947,-351
1.545,73.241,20.947,-351
1.559,73.242,20.947,-351
1.573,73.242,20.947,-351
1.587,73.242,20.947,-351
1.601,73.242,20.947,-347
1.615,73.243,20.947,-347
1.629,73.243,20.948,-347
1.643,73.243,20.948,-347
1.657,73.243,20.948,-347
1.671,73.244,20.948,-347
1.685,73.244,20.948,-347
1.699,73.244,20.948,-347
1.713,73.244,20.948,-347
1.727,73.244,20.948,-347
1.741,73.245,20.948,-347
1.755,73.245,20.948,-347
1.769,73.245,20.948,-347
1.783,73.245,20.948,-347
1.797,73.246,20.948,-347
1.811,73.246,20.948,-347
1.825,73.246,20.948,-347
1.839,73.246,20.949,-347
1.853,73.247,20.949,-347
1.868,73.247,20.949,-347
1.882,73.247,20.949,-347
1.896,73.247,20.949,-347
1.91,73.248,20.949,-347
1.924,73.248,20.949,-347
1.938,73.248,20.949,-347
1.952,73.248,20.949,-347
1.966,73.249,20.949,-347
1.98,73.249,20.949,-347
1.994,73.249,20.949,-347
2.008,73.249,20.949,-347
2.022,73.25,20.949,-347
2.036,73.25,20.949,-347
2.05,73.25,20.95,-345
2.064,73.25,20.95,-345
2.078,73.251,20.95,-345
2.092,73.251,20.95,-345
2.106,73.251,20.95,-345
2.12,73.251,20.95,-345
2.134,73.252,20.95,-345
2.148,73.252,20.95,-345
2.162,73.252,20.95,-345
2.176,73.252,20.95,-345
2.19,73.253,20.95,-345
2.204,73.253,20.95,-345
2.218,73.253,20.95,-345
2.232,73.253,20.95,-345
2.246,73.254,20.95,-345
2.26,73.254,20.951,-345
2.275,73.254,20.951,-345
2.289,73.254,20.951,-345
2.303,73.255,20.951,-345
2.317,73.255,20.951,-345
2.331,73.255,20.951,-345
2.345,73.255,20.951,-345
2.359,73.255,20.951,-345
2.373,73.256,20.951,-345
2.387,73.256,20.951,-345
2.401,73.256,20.951,-345
2.415,73.256,20.951,-345
2.429,73.257,20.951,-345
2.443,73.257,20.951,-345
2.457,73.257,20.951,-345
2.471,73.257,20.951,-345
2.485,73.258,20.952,-345
2.499,73.258,20.952,-346
2.513,73.258,20.952,-346
2.527,73.258,20.952,-346
